# CP-F1,   ALPHA= 30 DEG.,  RE= 43 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
100301  50.8 14  0.0674 -0.0304
100301  50.4 15  0.0876 -0.0695
100301  50.3 16  0.1079 -0.0996
100301  50.4 17  0.1284 -0.1200
100301  50.4 18  0.1489 -0.1660
100301  50.3 19  0.1901 -0.1860
100301  50.4 20  0.2315 -0.2257
100301  50.4 21  0.2728 -0.2700
100301  50.4 22  0.3145 -0.2761
100301  50.4 23  0.3561 -0.2948
100301  50.4 24  0.3978 -0.3150
100301  50.3 25  0.4394 -0.3465
100301  50.4 26  0.4811 -0.3811
100301  50.4 27  0.5228 -0.3612
100301  50.4 28  0.5644 -0.3630
100301  50.3 29  0.6061 -0.3548
100301  50.4 30  0.6478 -0.3733
100301  50.4 31  0.6894 -0.3757
100301  50.4 32  0.7309 -0.3886
100301  50.4 33  0.7725 -0.4370
100301  50.4 34  0.8139 -0.3758
100301  50.4 35  0.8346 -0.3874
100301  50.4 36  0.8552 -0.3786
100301  50.4 37  0.8758 -0.3625
100301  50.4 38  0.9166 -0.3122
100301  50.4 39  0.9365 -0.2671
100301  50.4 40  0.9544 -0.1707
100301  50.4 41  0.9717  0.0244
100302  55.3  1  0.0000  0.1235
100302  55.4  2  0.0006  0.3275
100302  55.4  3  0.0022  0.4186
100302  55.4  4  0.0046  0.3771
100302  55.4  5  0.0074  0.3150
100302  55.4  6  0.0105  0.2428
100302  55.4  7  0.0137  0.2055
100302  55.4  8  0.0172  0.1700
100302  55.4  9  0.0208  0.1008
100302  55.4 10  0.0282  0.0500
100302  55.4 11  0.0358  0.0080
100302  55.4 12  0.0435 -0.0268
100302  55.4 13  0.0555 -0.0939
100302  55.4 14  0.0674 -0.1389
100302  55.4 15  0.0876 -0.1737
100302  55.4 16  0.1079 -0.2002
100302  55.4 17  0.1284 -0.2270
100302  55.4 18  0.1489 -0.2656
100302  55.4 19  0.1901 -0.2893
100302  55.4 20  0.2315 -0.3189
100302  55.4 21  0.2728 -0.3653
100302  55.4 22  0.3145 -0.3654
100302  55.4 23  0.3561 -0.3779
100302  55.4 24  0.3978 -0.3949
100302  55.4 25  0.4394 -0.4354
100302  55.4 26  0.4811 -0.4609
100302  55.4 27  0.5228 -0.4401
100302  55.4 28  0.5644 -0.4371
100302  55.4 29  0.6061 -0.4304
100302  55.4 30  0.6478 -0.4386
100302  55.4 31  0.6894 -0.4445
100302  55.4 32  0.7309 -0.4472
100302  55.4 33  0.7725 -0.4888
100302  55.4 34  0.8139 -0.4315
100302  55.4 35  0.8346 -0.4281
100302  55.4 36  0.8552 -0.4214
100302  55.4 37  0.8758 -0.4032
100302  55.4 38  0.9166 -0.3311
100302  55.4 39  0.9365 -0.2656
100302  55.4 40  0.9544 -0.1542
100302  55.4 41  0.9717  0.0348
100303  60.4  1  0.0000  0.1258
100303  60.4  2  0.0006  0.2913
100303  60.4  3  0.0022  0.3414
100303  60.4  4  0.0046  0.2872
100303  60.4  5  0.0074  0.2100
100303  60.4  6  0.0105  0.1308
100303  60.4  7  0.0137  0.0962
100303  60.3  8  0.0172  0.0566
100303  60.4  9  0.0208 -0.0113
100303  60.4 10  0.0282 -0.0571
100303  60.4 11  0.0358 -0.1083
100303  60.4 12  0.0435 -0.1353
100303  60.4 13  0.0555 -0.2005
100303  60.4 14  0.0674 -0.2407
100303  60.4 15  0.0876 -0.2752
100303  60.4 16  0.1079 -0.3024
100303  60.4 17  0.1284 -0.3178
100303  60.4 18  0.1489 -0.3555
100303  60.4 19  0.1901 -0.3767
100303  60.4 20  0.2315 -0.4078
100303  60.4 21  0.2728 -0.4458
100303  60.4 22  0.3145 -0.4446
100303  60.4 23  0.3561 -0.4596
100303  60.4 24  0.3978 -0.4693
100303  60.4 25  0.4394 -0.5100
100303  60.4 26  0.4811 -0.5319
100303  60.4 27  0.5228 -0.5133
100303  60.4 28  0.5644 -0.5031
100303  60.4 29  0.6061 -0.4906
100303  60.4 30  0.6478 -0.4968
100303  60.4 31  0.6894 -0.4973
100303  60.4 32  0.7309 -0.4952
100303  60.4 33  0.7725 -0.5362
100303  60.4 34  0.8139 -0.4588
100303  60.4 35  0.8346 -0.4707
100303  60.4 36  0.8552 -0.4473
100303  60.4 37  0.8758 -0.4222
100303  60.4 38  0.9166 -0.3231
100303  60.4 39  0.9365 -0.2438
100303  60.4 40  0.9544 -0.1237
100303  60.4 41  0.9717  0.0829
100304  65.1  1  0.0000  0.1350
100304  65.1  2  0.0006  0.2503
100304  65.1  3  0.0022  0.2709
100304  65.1  4  0.0046  0.1900
100304  65.1  5  0.0074  0.1177
100304  65.1  6  0.0105  0.0264
100304  65.1  7  0.0137 -0.0070
100304  65.1  8  0.0172 -0.0513
100304  65.1  9  0.0208 -0.1145
100304  65.1 10  0.0282 -0.1616
100304  65.1 11  0.0358 -0.2075
100304  65.1 12  0.0435 -0.2353
100304  65.1 13  0.0555 -0.2870
100304  65.1 14  0.0674 -0.3372
100304  65.1 15  0.0876 -0.3648
