# CP-NWG,  ALPHA= 10 DEG., RE= 7.7 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
410212  33.6 28  0.5644 -0.0831
410212  33.6 29  0.6061 -0.0851
410212  33.6 30  0.6478 -0.0897
410212  33.6 31  0.6894 -0.1014
410212  33.6 32  0.7309 -0.0997
410212  33.6 33  0.7725 -0.1016
410212  33.6 34  0.8139 -0.1033
410212  33.6 35  0.8346 -0.1062
410212  33.6 36  0.8552 -0.1005
410212  33.6 37  0.8758 -0.0937
410212  33.6 38  0.8962 -0.0870
410212  33.6 39  0.9166 -0.0654
410212  33.6 40  0.9365 -0.0264
410212  33.6 41  0.9544  0.0530
410212  33.6 42  0.9717  0.2070
410213  38.4  1  0.0000  0.9014
410213  38.4  2  0.0006  0.9642
410213  38.4  3  0.0022  0.8954
410213  38.4  4  0.0046  0.7817
410213  38.4  5  0.0074  0.6723
410213  38.4  6  0.0105  0.5635
410213  38.4  7  0.0137  0.5033
410213  38.4  8  0.0172  0.4414
410213  38.4  9  0.0208  0.3951
410213  38.4 10  0.0282  0.3176
410213  38.4 11  0.0358  0.2651
410213  38.4 12  0.0435  0.2239
410213  38.4 13  0.0555  0.1686
410213  38.4 14  0.0674  0.1266
410213  38.4 15  0.0876  0.1075
410213  38.4 16  0.1079  0.0782
410213  38.4 17  0.1284  0.0541
410213  38.4 18  0.1489  0.0337
410213  38.4 19  0.1901  0.0150
410213  38.4 20  0.2315 -0.0024
410213  38.4 21  0.2728 -0.0183
410213  38.4 22  0.3145 -0.0372
410213  38.4 23  0.3561 -0.0463
410213  38.4 24  0.3978 -0.0538
410213  38.4 25  0.4394 -0.0637
410213  38.4 26  0.4811 -0.0727
410213  38.4 27  0.5228 -0.0819
410213  38.4 28  0.5644 -0.0903
410213  38.4 29  0.6061 -0.0939
410213  38.4 30  0.6478 -0.0961
410213  38.4 31  0.6894 -0.1069
410213  38.4 32  0.7309 -0.1052
410213  38.4 33  0.7725 -0.1077
410213  38.4 34  0.8139 -0.1082
410213  38.4 35  0.8346 -0.1093
410213  38.4 36  0.8552 -0.1007
410213  38.4 37  0.8758 -0.0933
410213  38.4 38  0.8962 -0.0859
410213  38.4 39  0.9166 -0.0626
410213  38.4 40  0.9365 -0.0215
410213  38.4 41  0.9544  0.0588
410213  38.4 42  0.9717  0.2044
410214  43.2  1  0.0000  0.8996
410214  43.2  2  0.0006  0.9544
410214  43.2  3  0.0022  0.8825
410214  43.2  4  0.0046  0.7599
410214  43.2  5  0.0074  0.6479
410214  43.2  6  0.0105  0.5390
410214  43.2  7  0.0137  0.4792
410214  43.2  8  0.0172  0.4166
410214  43.2  9  0.0208  0.3734
410214  43.2 10  0.0282  0.2978
410214  43.2 11  0.0358  0.2443
410214  43.2 12  0.0435  0.2043
410214  43.2 13  0.0555  0.1518
410214  43.2 14  0.0674  0.1094
410214  43.2 15  0.0876  0.0900
410214  43.2 16  0.1079  0.0612
410214  43.2 17  0.1284  0.0362
410214  43.2 18  0.1489  0.0200
410214  43.2 19  0.1901  0.0024
410214  43.2 20  0.2315 -0.0151
410214  43.2 21  0.2728 -0.0324
410214  43.2 22  0.3145 -0.0504
410214  43.2 23  0.3561 -0.0562
410214  43.2 24  0.3978 -0.0632
410214  43.2 25  0.4394 -0.0755
410214  43.2 26  0.4811 -0.0812
410214  43.2 27  0.5228 -0.0906
410214  43.2 28  0.5644 -0.0990
410214  43.2 29  0.6061 -0.1012
410214  43.2 30  0.6478 -0.1038
410214  43.2 31  0.6894 -0.1142
410214  43.2 32  0.7309 -0.1127
410214  43.2 33  0.7725 -0.1123
410214  43.2 34  0.8139 -0.1125
410214  43.2 35  0.8346 -0.1152
410214  43.2 36  0.8552 -0.1048
410214  43.2 37  0.8758 -0.0955
410214  43.2 38  0.8962 -0.0862
410214  43.2 39  0.9166 -0.0604
410214  43.2 40  0.9365 -0.0157
410214  43.2 41  0.9544  0.0687
410214  43.2 42  0.9717  0.2024
410215  48.0  1  0.0000  0.8989
410215  48.0  2  0.0006  0.9399
410215  48.0  3  0.0022  0.8625
410215  48.0  4  0.0046  0.7369
410215  48.0  5  0.0074  0.6233
410215  48.0  6  0.0105  0.5163
410215  48.0  7  0.0137  0.4522
410215  48.0  8  0.0172  0.3980
410215  48.0  9  0.0208  0.3510
410215  48.0 10  0.0282  0.2782
410215  48.0 11  0.0358  0.2245
410215  48.0 12  0.0435  0.1811
410215  48.0 13  0.0555  0.1330
410215  48.0 14  0.0674  0.0890
410215  48.0 15  0.0876  0.0745
410215  48.0 16  0.1079  0.0474
410215  48.0 17  0.1284  0.0226
410215  48.0 18  0.1489  0.0024
410215  48.0 19  0.1901 -0.0112
410215  48.0 20  0.2315 -0.0261
410215  48.0 21  0.2728 -0.0408
410215  48.0 22  0.3145 -0.0596
410215  48.0 23  0.3561 -0.0669
410215  48.0 24  0.3978 -0.0734
410215  48.0 25  0.4394 -0.0833
410215  48.0 26  0.4811 -0.0912
410215  48.0 27  0.5228 -0.1004
410215  48.0 28  0.5644 -0.1075
410215  48.0 29  0.6061 -0.1089
410215  48.0 30  0.6478 -0.1112
410215  48.0 31  0.6894 -0.1214
410215  48.0 32  0.7309 -0.1174
410215  48.0 33  0.7725 -0.1179
410215  48.0 34  0.8139 -0.1152
410215  48.0 35  0.8346 -0.1150
